year,winter,summer,winter_minus_summer
2025,97862.81052966102,111933.59736794987,-14070.786838288856
2019,4918.847944444445,10227.726073369566,-5308.878128925121
2016,547.9481135531136,625.6235643115942,-77.67545075848068
2015,304.3400833333333,256.20394927536233,48.13613405797099
2023,28795.82752777778,28566.40464673913,229.42288103864848
2024,63893.24480769231,62908.342644927536,984.9021627647744
2018,8655.244462962963,6866.3619067028985,1788.8825562600641
2017,5766.35675,2998.7586911231883,2767.5980588768116
2020,13344.62032967033,10223.78584692029,3120.8344827500405
2021,43277.53889351852,38557.12485960145,4720.41403391707
2022,32649.18162962963,22769.30323822464,9879.878391404993
2014,322.83858208955223,NA,NA
